Calculation,Time,,,
246,1.72222E-05,,,
247,1.75116E-05,,,
248,1.78356E-05,,,
249,1.78241E-05,,,
250,1.72685E-05,,,
251,1.77315E-05,,,
252,1.77315E-05,,,
253,1.73843E-05,,,
254,1.73148E-05,,,
255,1.74074E-05,,,
256,1.75116E-05,,,
257,1.74074E-05,,,
258,1.75347E-05,,,
259,1.8588E-05,,,
260,1.73843E-05,,,
261,1.79398E-05,,,
262,1.85995E-05,,,
263,1.89699E-05,,,
264,1.73843E-05,,,
265,1.73727E-05,,,
266,1.82176E-05,,,
267,1.74537E-05,,,
268,1.75463E-05,,,
269,1.78588E-05,,,
270,1.84491E-05,,,
271,0.0000175,,,
272,1.8206E-05,,,
273,1.77199E-05,,,
274,1.79167E-05,,,
275,1.76505E-05,,,
276,1.83565E-05,,,
277,1.85301E-05,,,
278,1.74421E-05,,,
279,1.73727E-05,,,
280,1.79514E-05,,,
281,1.72338E-05,,,
282,1.78704E-05,,,
283,1.73264E-05,,,
284,1.79167E-05,,,
285,1.77315E-05,,,
286,1.74769E-05,,,
287,1.78356E-05,,,
288,1.86806E-05,,,
289,1.74884E-05,,,
290,1.72222E-05,,,
291,1.77083E-05,,,
292,1.72801E-05,,,
293,1.76042E-05,,,
294,1.74884E-05,,,
295,1.84606E-05,,,
296,1.76736E-05,,,
297,1.74537E-05,,,
298,1.74537E-05,,,
299,1.86574E-05,,,
300,1.7338E-05,,,
301,1.73843E-05,,,
302,1.79051E-05,,,
303,1.82639E-05,,,
304,1.74306E-05,,,
305,1.74884E-05,,,
306,1.94907E-05,,,
307,1.75116E-05,,,
308,1.76852E-05,,,
309,1.8044E-05,,,
310,1.79167E-05,,,
311,1.8044E-05,,,
312,1.76852E-05,,,
313,0.000020625,,,
314,1.73495E-05,,,
315,1.82639E-05,,,
316,1.76852E-05,,,
317,1.73148E-05,,,
318,1.7338E-05,,,
319,1.74421E-05,,,
320,1.82523E-05,,,
321,1.76042E-05,,,
322,1.76968E-05,,,
323,1.82639E-05,,,
324,1.80903E-05,,,
325,1.73958E-05,,,
326,1.73264E-05,,,
327,1.77315E-05,,,
328,1.84722E-05,,,
329,1.78356E-05,,,
330,1.76852E-05,,,
331,1.74884E-05,,,
332,1.7338E-05,,,
333,1.74653E-05,,,
334,1.73958E-05,,,
335,1.80903E-05,,,
336,1.72801E-05,,,
337,1.74421E-05,,,
338,1.77315E-05,,,
339,1.81713E-05,,,
340,1.75579E-05,,,
341,1.82292E-05,,,
